LAMMPS (23 Jun 2022 - Update 4)
# 3d vashishta

units		metal
atom_style	atomic

boundary        p p p


lattice		custom 1              a1 5.5392  0. 0.              a2 0.0 5.5392  0.0            a3 0.0 0.0 5.5392             basis 0.   0.   0.            basis 0.5  0.5  0.            basis 0.5  0.   0.5            basis 0.   0.5  0.5            basis 0.5  0.   0.             basis 0.   0.5  0.             basis 0.   0.   0.5             basis 0.5  0.5  0.5
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392


region		caixa block 0 10 0 10 0 10
create_box	2 caixa
Created orthogonal box = (0 0 0) to (55.392 55.392 55.392)
  1 by 2 by 5 MPI processor grid
create_atoms	1 region caixa basis 1 1 basis 2 1 basis 3 1 basis 4 1             	  basis 5 2 basis 6 2 basis 7 2 basis 8 2
Created 8000 atoms
  using lattice units in orthogonal box = (0 0 0) to (55.392 55.392 55.392)
  create_atoms CPU = 0.001 seconds

mass		1 137.33
mass		2 15.9994

#velocity	all create 2100. 473204 dist gaussian
velocity        all create 2900. 473204 dist gaussian

group		Ba type 1
4000 atoms in group Ba
group		O type 2
4000 atoms in group O

pair_style	table linear 50000
pair_coeff	1 1 Pot_BaO Vash_11
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:471)
pair_coeff	1 2 Pot_BaO Vash_12
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:471)
pair_coeff	2 2 Pot_BaO Vash_22
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:471)

timestep	0.001   #1.0 fs

thermo		500         # intervalo para mostrar output instantaneos.

neighbor	2.0 bin
neigh_modify	every 8 delay 0 check yes

restart		1000 BaO-nvt.T2100

#fix		ensemble all nve
#fix		ensemble all nvt temp 300 300 0.1 iso 0.0 0.0 0.5 drag 2.0
#fix    ensemble all nvt temp 2100 2100 0.1

fix    ensemble all nvt temp 2900 2900 0.05


run		2000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 8 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.309 | 3.535 | 3.696 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   2900          -30477.63       0             -27479.169      18531.611    
       500   2906.4936     -27765.896      0             -24760.721      115349.22    
      1000   2893.184      -27934.93       0             -24943.517      110026.43    
      1500   2881.1479     -27856.395      0             -24877.427      112444.2     
      2000   2919.3455     -27887.466      0             -24869.003      112705.91    
      2500   2935.2014     -27868.781      0             -24833.924      111923.91    
      3000   2900.1695     -27919.136      0             -24920.5        110867.58    
      3500   2915.251      -27857.888      0             -24843.659      113165.55    
      4000   2866.8225     -27844.598      0             -24880.441      112491.25    
      4500   2904.4476     -27885.036      0             -24881.976      111246.38    
      5000   2889.7252     -27860.464      0             -24872.628      112957.49    
      5500   2924.422      -27873.188      0             -24849.476      112800.19    
      6000   2889.7311     -27842.939      0             -24855.096      113252.04    
      6500   2909.2735     -27875.734      0             -24867.685      112212.65    
      7000   2922.1083     -27845.026      0             -24823.707      113797.78    
      7500   2937.7293     -27842.838      0             -24805.368      113212.34    
      8000   2927.029      -27872.565      0             -24846.157      112059.67    
      8500   2954.4529     -27876.96       0             -24822.198      111796.15    
      9000   2920.1296     -27806.813      0             -24787.54       114440.11    
      9500   2880.1858     -27862.706      0             -24884.732      111879.67    
     10000   2937.8144     -27832.097      0             -24794.538      113948.28    
     10500   2896.5428     -27853.088      0             -24858.202      113870.53    
     11000   2920.322      -27881.361      0             -24861.889      112826.16    
     11500   2874.2738     -27886.686      0             -24914.825      111222.82    
     12000   2911.1891     -27846.874      0             -24836.845      113556.57    
     12500   2907.0067     -27855.587      0             -24849.882      112211.71    
     13000   2972.0735     -27833.03       0             -24760.049      114300.08    
     13500   2900.0077     -27818.139      0             -24819.671      113608.48    
     14000   2903.7957     -27875.718      0             -24873.333      111566.77    
     14500   2905.9984     -27814.576      0             -24809.914      114281.45    
     15000   2903.2052     -27883.283      0             -24881.508      111705.51    
     15500   2888.5184     -27897.672      0             -24911.082      111972.72    
     16000   2908.7612     -27849.212      0             -24841.693      113117.48    
     16500   2880.4442     -27871.512      0             -24893.271      111155.87    
     17000   2881.8553     -27824.164      0             -24844.464      113605.08    
     17500   2911.361      -27865.077      0             -24854.869      112490.16    
     18000   2917.463      -27916.158      0             -24899.642      111012.18    
     18500   2877.2714     -27882.561      0             -24907.601      111671.34    
     19000   2929.6491     -27884.159      0             -24855.043      111735.56    
     19500   2899.5394     -27870.914      0             -24872.93       111636.07    
     20000   2887.0761     -27873.557      0             -24888.459      112168.75    
     20500   2937.0667     -27849.178      0             -24812.392      112636.79    
     21000   2851.6951     -27858.929      0             -24910.414      112206.32    
     21500   2907.9841     -27836.459      0             -24829.744      113277.26    
     22000   2903.261      -27854.233      0             -24852.401      113116.29    
     22500   2924.425      -27849.993      0             -24826.278      112997.44    
     23000   2931.2668     -27867.617      0             -24836.829      112950.24    
     23500   2936.8321     -27826.905      0             -24790.362      113842.32    
     24000   2871.6775     -27877.737      0             -24908.561      111470.03    
     24500   2917.5473     -27891.269      0             -24874.665      111436.45    
     25000   2938.6063     -27808.931      0             -24770.553      113593       
     25500   2872.3784     -27879.361      0             -24909.459      112139.09    
     26000   2934.1516     -27857.941      0             -24824.169      113005.88    
     26500   2894.7743     -27843.468      0             -24850.411      113229.98    
     27000   2928.7829     -27872.899      0             -24844.678      112734.28    
     27500   2890.7992     -27845.019      0             -24856.071      113573.43    
     28000   2906.2852     -27874.272      0             -24869.313      112425.45    
     28500   2854.2686     -27876.186      0             -24925.009      111814.71    
     29000   2895.0278     -27800.415      0             -24807.095      114627.83    
     29500   2866.6128     -27882.007      0             -24918.067      111776.4     
     30000   2905.8664     -27854.96       0             -24850.434      113155.29    
     30500   2870.1829     -27872.202      0             -24904.571      112160.78    
     31000   2926.7776     -27862.559      0             -24836.412      112489.53    
     31500   2876.3456     -27862.096      0             -24888.093      112530.66    
     32000   2937.8563     -27832.877      0             -24795.275      113311.97    
